Title,Year,Rating,Votes,Genres,Runtime,Director,Top 3 Cast,Box Office
The Shawshank Redemption,1994,9.3,,[],Runtime2 hours 22 minutes,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",29333735.0
The Godfather,1972,9.2,,[],Runtime2 hours 55 minutes,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan']",250342198.0
The Dark Knight,2008,9.0,,[],Runtime2 hours 32 minutes,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",1009057329.0
The Godfather Part II,1974,9.0,,[],Runtime3 hours 22 minutes,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']",47983687.0
12 Angry Men,1957,9.0,,[],Runtime1 hour 36 minutes,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",2945.0
The Lord of the Rings: The Return of the King,2003,9.0,,[],Runtime3 hours 21 minutes,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",1138585547.0
Schindler's List,1994,9.0,,[],Runtime3 hours 15 minutes,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",322161245.0
Pulp Fiction,1994,8.8,,[],Runtime2 hours 34 minutes,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']",213928762.0
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,,[],Runtime2 hours 58 minutes,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']",888483037.0
"The Good, the Bad and the Ugly",1967,8.8,,[],Runtime2 hours 58 minutes,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",25266106.0
Forrest Gump,1994,8.8,,[],Runtime2 hours 22 minutes,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",678226465.0
The Lord of the Rings: The Two Towers,2002,8.8,,[],Runtime2 hours 59 minutes,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",938532865.0
Fight Club,1999,8.8,,[],Runtime2 hours 19 minutes,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']",101321009.0
Inception,2010,8.8,,[],Runtime2 hours 28 minutes,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']",839381898.0
